PRESIDENT 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,State,RaceDate,CensusPop,Area,RedistrictedDate,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,California,20161108,"685,306",SAN JOAQUIN,N/A,"224,166","88,936","Trump, Donald J.",Challenger,"121,124","Clinton, Hillary Rodham",Challenger,I,"8,049","Johnson, Gary E.",Challenger,"6,057","32,188",D,39.67,54.03,3.59,2.70,42.34,57.66,,,"Stein, Jill (Independent) 3,134; McMullin, Evan (Independent) 617; Sanders, Bernard (Write-in) 1,372; La Riva, Gloria (Write-in) 903; Kotlikoff, Laurence (Write-in) 5"
President,California,20161108,"269,637",SAN LUIS OBISPO,N/A,"135,009","56,164","Trump, Donald J.",Challenger,"67,107","Clinton, Hillary Rodham",Challenger,I,"6,473","Johnson, Gary E.",Challenger,"5,265","10,943",D,41.60,49.71,4.79,3.90,45.56,54.44,,,"Stein, Jill (Independent) 2,848; McMullin, Evan (Independent) 702; Sanders, Bernard (Write-in) 1,273; La Riva, Gloria (Write-in) 425; Kotlikoff, Laurence (Write-in) 3; White, Jerry (Write-in) 1"
President,California,20161108,"718,451",SAN MATEO,N/A,"314,384","57,929","Trump, Donald J.",Challenger,"237,882","Clinton, Hillary Rodham",Challenger,I,"9,464","Johnson, Gary E.",Challenger,"9,109","179,953",D,18.43,75.67,3.01,2.90,19.58,80.42,,,"Stein, Jill (Independent) 5,102; McMullin, Evan (Independent) 760; Sanders, Bernard (Write-in) 2,159; La Riva, Gloria (Write-in) 1,047; Kotlikoff, Laurence (Write-in) 15; White, Jerry (Write-in) 3"
President,California,20161108,"423,895",SANTA BARBARA,N/A,"176,786","56,365","Trump, Donald J.",Challenger,"107,142","Clinton, Hillary Rodham",Challenger,I,"6,748","Johnson, Gary E.",Challenger,"6,531","50,777",D,31.88,60.61,3.82,3.69,34.47,65.53,,,"Stein, Jill (Independent) 3,719; McMullin, Evan (Independent) 733; Sanders, Bernard (Write-in) 1,366; La Riva, Gloria (Write-in) 693; Kotlikoff, Laurence (Write-in) 1; White, Jerry (Write-in) 1"
President,California,20161108,"1,781,642",SANTA CLARA,N/A,"703,709","144,826","Trump, Donald J.",Challenger,"511,684","Clinton, Hillary Rodham",Challenger,I,"25,325","Johnson, Gary E.",Challenger,"21,874","366,858",D,20.58,72.71,3.60,3.11,22.06,77.94,,,"Stein, Jill (Independent) 12,664; McMullin, Evan (Independent) 2,296; Sanders, Bernard (Write-in) 4,066; La Riva, Gloria (Write-in) 2,759; Kotlikoff, Laurence (Write-in) 25; White, Jerry (Write-in) 3"
President,California,20161108,"262,382",SANTA CRUZ,N/A,"128,821","22,438","Trump, Donald J.",Challenger,"95,249","Clinton, Hillary Rodham",Challenger,I,"4,325","Johnson, Gary E.",Challenger,"6,809","72,811",D,17.42,73.94,3.36,5.29,19.07,80.93,,,"Stein, Jill (Independent) 4,485; McMullin, Evan (Independent) 283; Sanders, Bernard (Write-in) 1,395; La Riva, Gloria (Write-in) 627; Kotlikoff, Laurence (Write-in) 4; White, Jerry (Write-in) 5"
President,California,20161108,"177,223",SHASTA,N/A,"80,053","51,778","Trump, Donald J.",Challenger,"22,301","Clinton, Hillary Rodham",Challenger,I,"3,382","Johnson, Gary E.",Challenger,"2,592","29,477",R,64.68,27.86,4.22,3.24,69.90,30.10,,,"Stein, Jill (Independent) 1,300; McMullin, Evan (Independent) 439; Sanders, Bernard (Write-in) 520; La Riva, Gloria (Write-in) 329; Kotlikoff, Laurence (Write-in) 2"
President,California,20161108,"3,240",SIERRA,N/A,"1,830","1,048","Trump, Donald J.",Challenger,601,"Clinton, Hillary Rodham",Challenger,I,98,"Johnson, Gary E.",Challenger,83,447,R,57.27,32.84,5.36,4.54,63.55,36.45,,,"Stein, Jill (Independent) 42; McMullin, Evan (Independent) 6; Sanders, Bernard (Write-in) 20; La Riva, Gloria (Write-in) 15"
President,California,20161108,"44,900",SISKIYOU,N/A,"20,492","11,341","Trump, Donald J.",Challenger,"7,234","Clinton, Hillary Rodham",Challenger,I,875,"Johnson, Gary E.",Challenger,"1,042","4,107",R,55.34,35.30,4.27,5.08,61.06,38.94,,,"Stein, Jill (Independent) 575; McMullin, Evan (Independent) 104; Sanders, Bernard (Write-in) 269; La Riva, Gloria (Write-in) 88; Kotlikoff, Laurence (Write-in) 1"
President,California,20161108,"413,344",SOLANO,N/A,"166,113","51,920","Trump, Donald J.",Challenger,"102,360","Clinton, Hillary Rodham",Challenger,I,"6,254","Johnson, Gary E.",Challenger,"5,579","50,440",D,31.26,61.62,3.76,3.36,33.65,66.35,,,"Stein, Jill (Independent) 2,771; McMullin, Evan (Independent) 557; Sanders, Bernard (Write-in) 1,437; La Riva, Gloria (Write-in) 804"
